days_june,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2010,2011,2012,2013
-3,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0.73,0.04,0,0,0,0,0,0,0,0
-2,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0.12,0.08,0.13,0.15,0.02,0,0,0,0,0,0.77,0.08,0,0,0,0,0,0,0,0
-1,0,0,0,0.02,0,0,0,0,0.2,0,0,0,0,0.25,0.23,0.17,0.61,0.06,0,0,0,0,0,0.81,0.08,0,0,0,0,0,0,0,0
0,0,0,0,0.06,0,0,0,0,0.33,0,0.06,0,0,0.46,0.29,0.25,0.76,0.1,0,0,0,0,0,1.28,0.21,0,0,0,0,0,0,0,0
1,0,0.57,0,0.15,0,0,0,0,0.39,0,0.06,0,0,0.59,0.39,0.42,0.86,0.1,0.04,0,0,0,0.06,1.91,0.31,0,0,0,0,0,0,0,0
2,0.17,0.91,0,0.41,0,0,0,0.03,0.43,0,0.14,0,0,0.73,0.52,0.71,1.31,0.14,0.08,0,0,0,0.29,2.5,0.45,0.04,0,0,0,0,0,0,0
3,0.41,1.8,0,1.75,0,0,0,0.03,0.64,0,0.2,0.28,0,0.98,0.76,1.1,1.79,0.22,0.2,0,0,0,0.42,3.02,0.83,0.09,0,0.03,0.02,0,0.07,0,0
4,0.63,2.92,0,3,0,0,0,0.04,0.78,0,0.31,0.57,0,1.22,0.84,1.87,2.84,0.47,0.26,0,0.06,0,0.57,3.54,0.86,0.18,0,0.1,0.04,0,0.08,0,0
5,1.18,5.24,0,4.5,0,0,0,0.06,0.97,0,0.43,0.67,0,1.37,1.06,2.53,3.5,0.7,0.35,0,0.14,0,0.89,4.2,1.11,0.25,0,0.14,0.07,0,0.36,0,0
6,2.13,5.51,0,5.74,0,0,0,0.16,1.04,0.26,0.53,0.8,0,1.7,1.15,3.18,5.24,0.95,0.46,0.04,0.31,0,1.34,4.84,1.3,0.32,0.02,0.21,0.11,0,0.57,0,0
7,2.68,7.33,0.54,6.36,0,0,0,0.41,1.5,0.32,0.68,1.43,0,2.3,1.32,3.77,7.65,1.11,0.66,0.04,0.56,0,1.62,5.22,1.37,0.34,0.06,0.32,0.18,0,0.7,0,0
8,4.27,9.83,0.71,7.44,0.02,0,0.05,0.45,2.26,0.38,0.87,2.03,0,2.59,1.65,4.54,10.7,1.39,0.74,0.04,0.64,0.09,1.86,5.98,1.7,0.56,0.09,0.34,0.35,0,0.86,0,0
9,5.29,10.23,0.74,10.09,0.02,0,0.17,0.87,3.57,0.88,1.16,2.56,0,3,1.96,6.67,13.71,3.24,0.91,0.04,0.81,0.28,2.31,6.5,2.89,0.59,0.14,0.41,0.64,0.01,1.1,0,0
10,5.73,12.72,0.76,10.4,0.03,0,0.24,1.3,4.08,1.58,1.49,2.96,0,3.28,2.25,7.85,15.8,4.84,1.06,0.04,1.16,0.39,2.73,7.39,3.89,0.95,0.22,0.45,0.88,0.17,1.18,0,0
11,7.59,14.42,1.02,10.9,0.05,0,0.35,1.48,4.21,2.19,1.89,3.57,0,4.02,2.6,9.71,16.63,6.79,1.64,0.04,1.28,0.61,2.99,8.25,4.5,1.65,0.3,0.54,1.1,0.19,1.26,0.01,0
12,9.95,14.76,1.33,11.24,0.48,0,0.73,2.49,4.93,2.65,2.08,4.5,0,5.46,3.69,11.64,17.85,7.19,1.87,0.05,1.35,0.93,3.72,10.73,5.33,2.61,0.38,0.76,1.33,0.35,1.35,0.01,0
13,10.6,15.97,2.02,11.58,1.31,0,1.03,4.35,5.29,3.48,2.52,5.29,0,7.1,6.1,12.7,18.58,7.98,2.21,0.16,1.43,1.44,5.16,12.39,6.85,3.22,0.62,1.18,1.68,0.65,1.38,0.06,0.01
14,12.37,16.87,2.32,11.66,2.33,0,1.47,5.82,5.87,4.56,4.53,5.77,0.21,8.32,7.01,13.43,18.8,9.8,2.25,0.26,1.58,2.17,5.58,13.25,8.18,3.49,1.02,2.35,2.28,1.39,2.17,0.09,0.02
15,13.17,18.21,2.53,12.47,3.74,0,2.51,6.61,6.41,6.46,5.49,6.78,0.84,8.52,8.36,14.67,19.62,10.53,2.36,0.31,1.72,2.49,6.4,14.32,8.88,3.7,1.92,3.51,3.07,1.86,3.02,0.1,0.07
16,14.45,18.97,3.04,13.69,4.34,0.03,3.17,6.7,6.75,7.47,6.46,7.77,1.3,8.81,11.36,16.76,20.13,11.86,2.59,0.48,1.94,2.87,7.68,15.08,9.57,4.16,3.15,4.74,4.34,2.61,3.99,0.17,0.23
17,15.56,19.84,3.53,14.43,5.24,0.06,4.32,7.82,7.35,8.1,8.02,8.74,2.27,9.73,12.6,18.85,20.89,12.88,2.8,0.91,2.34,3.18,8.36,15.65,10.85,4.67,4.21,6.06,5.04,3.52,4.51,0.33,0.32
