year,runsize
1982,295174
1983,320440
1984,222069
1985,290720
1986,318164
1987,348258
1988,291351
1989,329033
1990,302376
1991,248763
1992,308438
1993,263055
1994,345769
1995,351802
1996,365007
1997,321471
1998,168429
1999,260944
2000,79035
2001,142300
2002,192147
2003,375351
2004,279362
2005,304534
2006,293308
2007,224759
2008,201001
2009,194059
2010,165160
2011,171690
2012,144478
2013,144753
2014,178200
2015,161749
2016,188551
2017,278166
2018,177679
2019,248855
